Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 61: (55, -0.416757)  (61, 1.14069)  (244, -0.450374)  (255, -0.273556) 
row 62: (62, 1.1072)  (115, -0.340667)  (211, -0.240245)  (255, -0.526289) 
row 63: (63, 1.35529)  (76, -0.493585)  (110, -0.463396)  (282, -0.398314) 
row 64: (29, -0.371546)  (64, 1.08575)  (139, -0.403387)  (215, -0.310818) 
row 65: (65, 1.52056)  (168, -0.383773)  (251, -0.556252)  (274, -0.580536) 
row 66: (66, 1.54)  (168, -0.592721)  (232, -0.415451)  (295, -0.531827) 
row 67: (35, -0.345598)  (67, 0.745929)  (151, -0.214719)  (159, -0.185611) 
row 68: (68, 1.41357)  (102, -0.385138)  (103, -0.575675)  (329, -0.452756) 
row 69: (69, 0.91554)  (266, -0.604286)  (326, -0.311255) 
row 70: (70, 1.26463)  (139, -0.300117)  (325, -0.427543)  (345, -0.536974) 
row 71: (29, -0.31106)  (71, 1.12826)  (221, -0.320243)  (305, -0.49696) 
row 72: (22, -0.44656)  (72, 1.32417)  (253, -0.444362)  (291, -0.433248) 
row 73: (45, -0.311499)  (46, -0.403804)  (73, 1.00616)  (175, -0.290854) 
row 74: (54, -0.495065)  (55, -0.515001)  (74, 1.42854)  (75, -0.418475) 
row 75: (74, -0.418475)  (75, 1.37841)  (152, -0.469433)  (223, -0.490507) 
row 76: (29, -0.24741)  (30, -0.387355)  (63, -0.493585)  (76, 1.12835) 
row 77: (77, 0.940252)  (119, -0.332168)  (165, -0.4056)  (322, -0.202483) 
row 78: (5, -0.539957)  (78, 1.47783)  (158, -0.420042)  (179, -0.517831) 
row 79: (79, 1.02238)  (211, -0.469037)  (245, -0.389313)  (307, -0.164034) 
row 80: (80, 1.51117)  (217, -0.659799)  (307, -0.535328)  (342, -0.316042) 
row 81: (9, -0.572481)  (81, 1.17881)  (196, -0.256992)  (317, -0.349337) 
row 82: (82, 0.987893)  (114, -0.406673)  (125, -0.254204)  (317, -0.327016) 
row 83: (83, 1.17002)  (215, -0.532513)  (249, -0.412564)  (305, -0.224941) 
row 84: (84, 1.11307)  (220, -0.453309)  (305, -0.477075)  (321, -0.182687) 
row 85: (7, -0.448394)  (85, 1.16795)  (86, -0.33153)  (120, -0.388024) 
row 86: (85, -0.33153)  (86, 1.33125)  (190, -0.628641)  (309, -0.371073) 
row 87: (87, 1.72693)  (123, -0.729243)  (190, -0.392212)  (460, -0.605479) 
row 88: (88, 1.61287)  (146, -0.419547)  (179, -0.595515)  (300, -0.597811) 
row 89: (38, -0.424239)  (89, 1.38909)  (146, -0.489338)  (180, -0.475517) 
row 90: (90, 1.24401)  (91, -0.426907)  (275, -0.374987)  (285, -0.442112) 
row 91: (90, -0.426907)  (91, 1.35233)  (176, -0.483824)  (304, -0.441594) 
row 92: (92, 1.52272)  (226, -0.610505)  (257, -0.410335)  (340, -0.501885) 
row 93: (93, 1.30597)  (157, -0.390278)  (319, -0.368037)  (340, -0.547658) 
row 94: (94, 1.55135)  (95, -0.446715)  (127, -0.572341)  (303, -0.5323) 
row 95: (17, -0.491036)  (94, -0.446715)  (95, 1.39976)  (302, -0.462005) 
row 96: (13, -0.361013)  (14, -0.381306)  (96, 1.22658)  (171, -0.48426) 
row 97: (14, -0.455416)  (97, 1.32985)  (118, -0.384875)  (278, -0.489558) 
row 98: (98, 1.16505)  (101, -0.287604)  (170, -0.404188)  (290, -0.473258) 
row 99: (99, 1.27358)  (100, -0.395453)  (147, -0.468804)  (162, -0.409325) 
row 100: (99, -0.395453)  (100, 1.0973)  (111, -0.393018)  (335, -0.308824) 
row 101: (98, -0.287604)  (101, 1.55167)  (162, -0.777718)  (177, -0.486347) 
row 102: (68, -0.385138)  (102, 1.50517)  (105, -0.527568)  (171, -0.592463) 
row 103: (68, -0.575675)  (103, 1.67024)  (267, -0.547319)  (326, -0.547251) 
row 104: (104, 1.26433)  (286, -0.302634)  (297, -0.460341)  (340, -0.501359) 
row 105: (102, -0.527568)  (105, 1.21299)  (156, -0.358598)  (286, -0.326823) 
row 106: (26, -0.378688)  (106, 1.14452)  (241, -0.507323)  (299, -0.25851) 
row 107: (107, 1.1496)  (108, -0.367804)  (268, -0.413356)  (299, -0.36844) 
row 108: (107, -0.367804)  (108, 1.2003)  (117, -0.355669)  (683, -0.476829) 
row 109: (43, -0.199924)  (44, -0.478406)  (109, 1.17561)  (296, -0.497281) 
row 110: (63, -0.463396)  (110, 1.82623)  (258, -0.757039)  (283, -0.605797) 
row 111: (100, -0.393018)  (111, 1.18007)  (153, -0.451044)  (166, -0.336005) 
row 112: (40, -0.381074)  (112, 1.31377)  (142, -0.408338)  (184, -0.524358) 
row 113: (19, -0.391871)  (43, -0.318434)  (45, -0.217375)  (113, 0.927679) 
row 114: (40, -0.369243)  (82, -0.406673)  (114, 1.22466)  (194, -0.448739) 
row 115: (62, -0.340667)  (115, 1.32874)  (307, -0.42835)  (317, -0.559724) 
row 116: (52, -0.51512)  (116, 1.62191)  (129, -0.547758)  (178, -0.559035) 
row 117: (108, -0.355669)  (117, 1.30801)  (149, -0.495306)  (164, -0.45704) 
row 118: (97, -0.384875)  (118, 1.69424)  (207, -0.651516)  (240, -0.657852) 
row 119: (77, -0.332168)  (119, 1.40809)  (206, -0.426174)  (267, -0.649748) 
row 120: (85, -0.388024)  (120, 0.910469)  (170, -0.30124)  (177, -0.221205) 
row 121: (36, -0.491114)  (121, 1.26257)  (133, -0.393896)  (170, -0.377561) 
row 122: (122, 1.80183)  (123, -0.51215)  (252, -0.737828)  (309, -0.551848) 
row 123: (87, -0.729243)  (122, -0.51215)  (123, 1.78265)  (295, -0.54126) 
row 124: (16, -0.51152)  (124, 1.50448)  (251, -0.65312)  (294, -0.339841) 
row 125: (15, -0.28921)  (82, -0.254204)  (125, 0.78019)  (196, -0.236776) 
row 126: (37, -0.39923)  (126, 1.19192)  (145, -0.459349)  (172, -0.333339) 
row 127: (3, -0.380074)  (94, -0.572341)  (127, 1.53626)  (154, -0.583845) 
row 128: (31, -0.395419)  (128, 1.33688)  (154, -0.519354)  (157, -0.422111) 
row 129: (116, -0.547758)  (129, 1.3523)  (173, -0.459229)  (571, -0.34531) 
row 130: (130, 1.21559)  (173, -0.266386)  (182, -0.528606)  (644, -0.420594) 
row 131: (59, -0.249748)  (131, 1.05914)  (140, -0.433079)  (284, -0.376311) 
row 132: (132, 1.2974)  (205, -0.285037)  (218, -0.544923)  (242, -0.467435) 
row 133: (18, -0.522875)  (121, -0.393896)  (133, 1.36281)  (169, -0.446042) 
row 134: (17, -0.488933)  (18, -0.477339)  (134, 1.42507)  (181, -0.458802) 
row 135: (135, 1.50351)  (141, -0.516228)  (184, -0.384674)  (192, -0.602605) 
row 136: (136, 1.56077)  (155, -0.574935)  (193, -0.603046)  (272, -0.382792) 
row 137: (27, -0.430668)  (137, 1.33234)  (253, -0.463376)  (275, -0.4383) 
row 138: (33, -0.389871)  (138, 1.38549)  (173, -0.504493)  (291, -0.491128) 
row 139: (64, -0.403387)  (70, -0.300117)  (139, 0.970338)  (282, -0.266834) 
row 140: (60, -0.470072)  (131, -0.433079)  (140, 1.28458)  (304, -0.38143) 
row 141: (135, -0.516228)  (141, 1.53082)  (152, -0.470358)  (155, -0.544231) 
row 142: (112, -0.408338)  (142, 1.28138)  (152, -0.43284)  (269, -0.440207) 
