Mat Object: (p_) 1 MPI process
  type: seqaij
row 64: (47, -0.454008)  (64, 2.)  (288, -0.454008)  (289, -1.09198) 
row 65: (42, -0.454008)  (65, 2.)  (290, -1.09198)  (328, -0.454008) 
row 66: (39, -0.454007)  (66, 2.)  (291, -1.09198)  (299, -0.454008) 
row 67: (45, -0.454008)  (67, 2.)  (292, -1.09198)  (293, -0.454008) 
row 68: (46, -0.454008)  (48, -0.454008)  (68, 2.)  (293, -1.09198) 
row 69: (13, -0.454008)  (26, -0.454008)  (69, 2.)  (294, -1.09198) 
row 70: (70, 2.)  (87, -0.454008)  (292, -0.454008)  (295, -1.09198) 
row 71: (71, 2.)  (72, -0.454008)  (296, -1.09198)  (361, -0.454008) 
row 72: (71, -0.454008)  (72, 2.)  (291, -0.454008)  (297, -1.09198) 
row 73: (73, 2.)  (298, -1.09198)  (299, -0.454008)  (300, -0.454008) 
row 74: (21, -0.454008)  (74, 2.)  (276, -0.454008)  (299, -1.09198) 
row 75: (75, 2.)  (76, -0.454008)  (150, -0.454008)  (300, -1.09198) 
row 76: (75, -0.454008)  (76, 2.)  (120, -0.454008)  (301, -1.09198) 
row 77: (77, 2.)  (301, -0.454008)  (302, -1.09198)  (337, -0.454008) 
row 78: (61, -0.454008)  (78, 2.)  (79, -0.454008)  (303, -1.09198) 
row 79: (78, -0.454008)  (79, 2.)  (119, -0.454008)  (304, -1.09198) 
row 80: (80, 2.)  (101, -0.454008)  (201, -0.454009)  (305, -1.09198) 
row 81: (81, 2.)  (179, -0.454008)  (275, -0.454008)  (306, -1.09198) 
row 82: (82, 2.)  (261, -0.454008)  (274, -0.454009)  (307, -1.09198) 
row 83: (54, -0.454008)  (83, 2.)  (84, -0.454008)  (308, -1.09198) 
row 84: (83, -0.454008)  (84, 2.)  (280, -0.454008)  (309, -1.09198) 
row 85: (85, 2.)  (100, -0.454008)  (289, -0.454008)  (310, -1.09198) 
row 86: (86, 2.)  (116, -0.454008)  (154, -0.454008)  (311, -1.09198) 
row 87: (70, -0.454008)  (87, 2.)  (311, -0.454008)  (312, -1.09198) 
row 88: (88, 2.)  (89, -0.454008)  (90, -0.454008)  (313, -1.09198) 
row 89: (88, -0.454008)  (89, 2.)  (107, -0.454008)  (314, -1.09198) 
row 90: (88, -0.454008)  (90, 2.)  (91, -0.454008)  (315, -1.09198) 
row 91: (90, -0.454008)  (91, 2.)  (314, -0.454008)  (316, -1.09198) 
row 92: (60, -0.454008)  (92, 2.)  (317, -1.09198)  (320, -0.454008) 
row 93: (93, 2.)  (94, -0.454008)  (318, -1.09198)  (321, -0.454008) 
row 94: (93, -0.454008)  (94, 2.)  (316, -0.454008)  (319, -1.09198) 
row 95: (95, 2.)  (96, -0.454008)  (320, -1.09198)  (378, -0.454008) 
row 96: (95, -0.454008)  (96, 2.)  (97, -0.454008)  (321, -1.09198) 
row 97: (96, -0.454008)  (97, 2.)  (319, -0.454008)  (322, -1.09198) 
row 98: (98, 2.)  (289, -0.454008)  (323, -1.09198)  (325, -0.454009) 
row 99: (99, 2.)  (111, -0.454008)  (323, -0.454008)  (324, -1.09198) 
row 100: (85, -0.454008)  (100, 2.)  (147, -0.454008)  (325, -1.09198) 
row 101: (80, -0.454008)  (101, 2.)  (287, -0.454008)  (326, -1.09198) 
row 102: (102, 2.)  (326, -0.454008)  (327, -1.09198)  (404, -0.454008) 
row 103: (103, 2.)  (328, -1.09198)  (379, -0.454008)  (439, -0.454008) 
row 104: (104, 2.)  (328, -0.454008)  (329, -1.09198)  (338, -0.454007) 
row 105: (105, 2.)  (278, -0.454008)  (308, -0.454008)  (330, -1.09198) 
row 106: (59, -0.454008)  (106, 2.)  (317, -0.454008)  (331, -1.09198) 
row 107: (89, -0.454008)  (107, 2.)  (281, -0.454008)  (332, -1.09198) 
row 108: (108, 2.)  (282, -0.454008)  (332, -0.454008)  (333, -1.09198) 
row 109: (109, 2.)  (333, -0.454008)  (334, -1.09198)  (356, -0.454008) 
row 110: (110, 2.)  (293, -0.454008)  (335, -1.09198)  (336, -0.454008) 
row 111: (99, -0.454008)  (111, 2.)  (336, -1.09198)  (433, -0.454008) 
row 112: (24, -0.454008)  (52, -0.454008)  (112, 2.)  (337, -1.09198) 
row 113: (113, 2.)  (291, -0.454008)  (296, -0.454009)  (338, -1.09198) 
row 114: (114, 2.)  (141, -0.454008)  (339, -1.09198)  (403, -0.454008) 
row 115: (115, 2.)  (154, -0.454008)  (214, -0.454008)  (340, -1.09198) 
row 116: (86, -0.454008)  (116, 2.)  (340, -0.454008)  (341, -1.09198) 
row 117: (117, 2.)  (219, -0.454008)  (335, -0.454008)  (342, -1.09198) 
row 118: (118, 2.)  (219, -0.454008)  (343, -1.09198)  (381, -0.454008) 
row 119: (79, -0.454008)  (119, 2.)  (344, -1.09198)  (374, -0.454008) 
row 120: (76, -0.454008)  (120, 2.)  (220, -0.454008)  (345, -1.09198) 
row 121: (121, 2.)  (208, -0.454008)  (209, -0.454008)  (346, -1.09198) 
