Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 70: (61, -0.378255)  (68, -0.513768)  (70, 1.41142)  (79, -0.519393) 
row 71: (62, -0.382957)  (71, 1.71432)  (73, -0.617107)  (77, -0.714258) 
row 72: (63, -0.495383)  (72, 1.53727)  (79, -0.576866)  (80, -0.465019) 
row 73: (64, -0.42723)  (71, -0.617107)  (73, 1.7856)  (81, -0.741263) 
row 74: (64, -0.70591)  (67, -0.715635)  (74, 2.19021)  (421, -0.768659) 
row 75: (66, -0.352416)  (67, -0.425709)  (75, 1.42384)  (424, -0.645717) 
row 76: (68, -0.761718)  (76, 1.67557)  (78, -0.528833)  (82, -0.385014) 
row 77: (69, -0.5414)  (71, -0.714258)  (77, 1.8313)  (83, -0.575637) 
row 78: (69, -0.622701)  (76, -0.528833)  (78, 1.49566)  (84, -0.344124) 
row 79: (70, -0.519393)  (72, -0.576866)  (79, 1.68514)  (85, -0.58888) 
row 80: (72, -0.465019)  (80, 1.64489)  (86, -0.471871)  (200, -0.708001) 
row 81: (73, -0.741263)  (81, 2.16488)  (87, -0.704646)  (425, -0.718974) 
row 82: (76, -0.385014)  (82, 1.43014)  (88, -0.43628)  (89, -0.608845) 
row 83: (77, -0.575637)  (83, 1.51461)  (90, -0.417712)  (91, -0.521266) 
row 84: (78, -0.344124)  (84, 1.32787)  (88, -0.411996)  (90, -0.571752) 
row 85: (79, -0.58888)  (85, 1.77852)  (89, -0.770702)  (92, -0.418941) 
row 86: (80, -0.471871)  (86, 1.50483)  (92, -0.617219)  (93, -0.41574) 
row 87: (81, -0.704646)  (87, 2.10649)  (91, -0.79268)  (431, -0.609167) 
row 88: (82, -0.43628)  (84, -0.411996)  (88, 1.31322)  (94, -0.464946) 
row 89: (82, -0.608845)  (85, -0.770702)  (89, 1.83202)  (95, -0.452473) 
row 90: (83, -0.417712)  (84, -0.571752)  (90, 1.31729)  (96, -0.327827) 
row 91: (83, -0.521266)  (87, -0.79268)  (91, 1.75199)  (97, -0.438045) 
row 92: (85, -0.418941)  (86, -0.617219)  (92, 1.45205)  (98, -0.415892) 
row 93: (86, -0.41574)  (93, 1.47228)  (99, -0.392861)  (195, -0.663684) 
row 94: (88, -0.464946)  (94, 1.5876)  (100, -0.597294)  (101, -0.52536) 
row 95: (89, -0.452473)  (95, 1.51729)  (100, -0.566738)  (102, -0.498078) 
row 96: (90, -0.327827)  (96, 1.63208)  (97, -0.621428)  (101, -0.682823) 
row 97: (91, -0.438045)  (96, -0.621428)  (97, 1.73361)  (443, -0.674141) 
row 98: (92, -0.415892)  (98, 1.36627)  (102, -0.557162)  (103, -0.393222) 
row 99: (93, -0.392861)  (99, 1.26969)  (103, -0.51832)  (104, -0.358512) 
row 100: (94, -0.597294)  (95, -0.566738)  (100, 1.66317)  (105, -0.499135) 
row 101: (94, -0.52536)  (96, -0.682823)  (101, 1.84438)  (106, -0.636201) 
row 102: (95, -0.498078)  (98, -0.557162)  (102, 1.48878)  (107, -0.433539) 
row 103: (98, -0.393222)  (99, -0.51832)  (103, 1.27988)  (108, -0.368334) 
row 104: (99, -0.358512)  (104, 1.25995)  (109, -0.330777)  (190, -0.570661) 
row 105: (100, -0.499135)  (105, 1.69787)  (110, -0.601681)  (111, -0.597056) 
row 106: (101, -0.636201)  (106, 1.97236)  (110, -0.605746)  (461, -0.730417) 
row 107: (102, -0.433539)  (107, 1.37318)  (111, -0.528823)  (112, -0.41082) 
row 108: (103, -0.368334)  (108, 1.1448)  (112, -0.464079)  (113, -0.312391) 
row 109: (104, -0.330777)  (109, 1.05706)  (113, -0.423536)  (114, -0.302746) 
