Mat Object: (p_) 1 MPI process
  type: seqaij
row 62: (62, 0.923491)  (150, -0.387355)  (322, -0.344163)  (430, -0.191973) 
row 63: (63, 1.10976)  (244, -0.395419)  (545, -0.430499)  (635, -0.283839) 
row 64: (25, -0.339341)  (64, 0.901708)  (470, -0.343853)  (565, -0.218513) 
row 65: (65, 0.980964)  (274, -0.389871)  (336, -0.267704)  (628, -0.32339) 
row 66: (66, 1.09904)  (110, -0.294237)  (321, -0.432093)  (336, -0.372707) 
row 67: (67, 1.19441)  (252, -0.403385)  (272, -0.546352)  (536, -0.244672) 
row 68: (68, 1.12224)  (298, -0.389224)  (345, -0.324778)  (536, -0.408233) 
row 69: (69, 1.03828)  (70, -0.245388)  (250, -0.408134)  (303, -0.384759) 
row 70: (48, -0.441006)  (69, -0.245388)  (70, 1.03189)  (622, -0.345498) 
row 71: (71, 1.04995)  (162, -0.463212)  (288, -0.271681)  (630, -0.315058) 
row 72: (72, 0.937327)  (288, -0.379301)  (371, -0.192142)  (602, -0.365883) 
row 73: (73, 1.46571)  (101, -0.630958)  (289, -0.47418)  (298, -0.360576) 
row 74: (74, 1.27152)  (245, -0.525638)  (347, -0.317633)  (578, -0.428248) 
row 75: (75, 1.10097)  (172, -0.44056)  (540, -0.376548)  (663, -0.283865) 
row 76: (76, 1.20536)  (448, -0.526714)  (540, -0.349499)  (567, -0.329143) 
row 77: (20, -0.401236)  (77, 1.25146)  (136, -0.345598)  (313, -0.504625) 
row 78: (19, -0.372553)  (20, -0.412667)  (78, 1.27633)  (229, -0.491114) 
row 79: (79, 1.27989)  (80, -0.383992)  (238, -0.39923)  (613, -0.496672) 
row 80: (79, -0.383992)  (80, 1.2373)  (97, -0.429068)  (170, -0.424239) 
row 81: (33, -0.35666)  (81, 1.13085)  (82, -0.355351)  (324, -0.418837) 
row 82: (81, -0.355351)  (82, 1.10567)  (208, -0.381074)  (214, -0.369243) 
row 83: (83, 0.992902)  (409, -0.142105)  (638, -0.407709)  (642, -0.443088) 
row 84: (84, 0.991106)  (409, -0.399411)  (477, -0.250379)  (643, -0.341316) 
row 85: (85, 0.712308)  (205, -0.199924)  (211, -0.318434)  (337, -0.19395) 
row 86: (86, 1.23752)  (205, -0.478406)  (338, -0.530138)  (365, -0.228973) 
row 87: (87, 0.895193)  (145, -0.311499)  (211, -0.217375)  (625, -0.366319) 
row 88: (88, 1.42502)  (145, -0.403804)  (283, -0.453686)  (496, -0.567529) 
row 89: (89, 1.50292)  (90, -0.324683)  (428, -0.50468)  (650, -0.673555) 
row 90: (89, -0.324683)  (90, 1.34405)  (490, -0.642526)  (491, -0.37684) 
row 91: (91, 0.95963)  (92, -0.139002)  (424, -0.415372)  (673, -0.405256) 
row 92: (91, -0.139002)  (92, 0.817255)  (488, -0.350747)  (489, -0.327507) 
row 93: (20, -0.396343)  (93, 1.19219)  (310, -0.374868)  (327, -0.420981) 
row 94: (94, 1.02702)  (246, -0.254006)  (247, -0.34531)  (553, -0.427708) 
row 95: (11, -0.168608)  (95, 0.77302)  (282, -0.264003)  (342, -0.340409) 
row 96: (96, 1.26418)  (285, -0.33807)  (569, -0.391237)  (593, -0.534874) 
row 97: (80, -0.429068)  (97, 1.28774)  (359, -0.417424)  (599, -0.441253) 
row 98: (98, 1.30005)  (441, -0.401391)  (464, -0.498429)  (655, -0.400234) 
row 99: (99, 1.08567)  (103, -0.283423)  (500, -0.518569)  (662, -0.283683) 
row 100: (100, 1.47551)  (216, -0.51512)  (362, -0.484141)  (598, -0.476253) 
row 101: (73, -0.630958)  (101, 1.77077)  (362, -0.592896)  (552, -0.546912) 
row 102: (102, 1.23888)  (271, -0.482008)  (576, -0.362536)  (615, -0.394336) 
row 103: (99, -0.283423)  (103, 0.969884)  (269, -0.386699)  (518, -0.299762) 
row 104: (104, 1.1947)  (105, -0.361222)  (110, -0.415274)  (111, -0.418204) 
row 105: (104, -0.361222)  (105, 1.24903)  (224, -0.46377)  (624, -0.424041) 
row 106: (106, 1.29073)  (260, -0.318655)  (677, -0.636658)  (680, -0.335415) 
row 107: (107, 0.988247)  (259, -0.403886)  (471, -0.259704)  (680, -0.324658) 
row 108: (108, 1.463)  (148, -0.495065)  (392, -0.493549)  (393, -0.474385) 
row 109: (109, 1.23278)  (128, -0.416757)  (148, -0.515001)  (530, -0.301024) 
row 110: (66, -0.294237)  (104, -0.415274)  (110, 1.00289)  (628, -0.293379) 
row 111: (104, -0.418204)  (111, 1.07713)  (318, -0.377311)  (574, -0.281618) 
row 112: (112, 1.28039)  (140, -0.398367)  (457, -0.444396)  (474, -0.437632) 
row 113: (113, 1.28203)  (140, -0.572884)  (379, -0.410964)  (640, -0.298186) 
row 114: (114, 0.946496)  (166, -0.325587)  (212, -0.325525)  (301, -0.295383) 
row 115: (115, 1.26546)  (212, -0.477968)  (422, -0.501121)  (639, -0.286374) 
row 116: (116, 1.12614)  (117, -0.316159)  (543, -0.419352)  (680, -0.390632) 
row 117: (116, -0.316159)  (117, 1.05329)  (220, -0.447887)  (584, -0.289246) 
row 118: (118, 1.40528)  (307, -0.482267)  (434, -0.456289)  (606, -0.466721) 
row 119: (119, 1.34697)  (392, -0.42681)  (434, -0.47008)  (674, -0.450077) 
row 120: (120, 1.35914)  (255, -0.249748)  (646, -0.60862)  (650, -0.500768) 
row 121: (121, 1.32004)  (276, -0.470072)  (505, -0.389387)  (559, -0.460583) 
row 122: (122, 1.34467)  (509, -0.407991)  (521, -0.408289)  (535, -0.528393) 
row 123: (123, 1.29147)  (234, -0.31449)  (521, -0.5497)  (640, -0.427279) 
row 124: (124, 1.25106)  (125, -0.337842)  (127, -0.510433)  (580, -0.402786) 
row 125: (124, -0.337842)  (125, 1.2427)  (254, -0.553021)  (361, -0.351834) 
row 126: (35, -0.410899)  (126, 1.22383)  (251, -0.407295)  (360, -0.405637) 
row 127: (124, -0.510433)  (127, 1.46322)  (311, -0.358743)  (360, -0.594039) 
row 128: (109, -0.416757)  (128, 1.14069)  (482, -0.450374)  (498, -0.273556) 
row 129: (129, 1.1072)  (215, -0.340667)  (416, -0.240245)  (498, -0.526289) 
row 130: (130, 1.35529)  (150, -0.493585)  (206, -0.463396)  (558, -0.398314) 
row 131: (61, -0.371546)  (131, 1.08575)  (275, -0.403387)  (420, -0.310818) 
row 132: (132, 1.52056)  (325, -0.383773)  (494, -0.556252)  (547, -0.580536) 
row 133: (133, 1.54)  (325, -0.592721)  (458, -0.415451)  (589, -0.531827) 
row 134: (10, -0.40691)  (134, 1.00822)  (135, -0.257695)  (242, -0.343616) 
row 135: (134, -0.257695)  (135, 0.926557)  (251, -0.265885)  (644, -0.402977) 
row 136: (77, -0.345598)  (136, 0.745929)  (299, -0.214719)  (314, -0.185611) 
row 137: (137, 1.481)  (298, -0.584022)  (299, -0.403349)  (618, -0.493628) 
row 138: (138, 1.41357)  (193, -0.385138)  (194, -0.575675)  (654, -0.452756) 
row 139: (139, 0.91554)  (524, -0.604286)  (647, -0.311255) 
row 140: (112, -0.398367)  (113, -0.572884)  (140, 1.45497)  (141, -0.483719) 
row 141: (46, -0.468898)  (140, -0.483719)  (141, 1.39247)  (533, -0.439855) 
row 142: (142, 1.26463)  (275, -0.300117)  (646, -0.427543)  (691, -0.536974) 
row 143: (61, -0.31106)  (143, 1.12826)  (430, -0.320243)  (605, -0.49696) 
row 144: (44, -0.44656)  (144, 1.32417)  (496, -0.444362)  (573, -0.433248) 
row 145: (87, -0.311499)  (88, -0.403804)  (145, 1.00616)  (337, -0.290854) 
row 146: (146, 1.33603)  (165, -0.334261)  (254, -0.519302)  (330, -0.482469) 
row 147: (147, 1.20526)  (301, -0.433661)  (450, -0.342597)  (535, -0.429004) 
