Mat Object: (p_) 1 MPI process
  type: seqaij
row 70: (61, -0.609602)  (63, -0.464678)  (70, 1.45724)  (80, -0.382957) 
row 71: (62, -0.451432)  (71, 1.66056)  (81, -0.495383)  (377, -0.713745) 
row 72: (63, -0.549562)  (72, 1.6827)  (82, -0.42723)  (83, -0.70591) 
row 73: (64, -0.486279)  (73, 1.31426)  (75, -0.525507)  (84, -0.302471) 
row 74: (64, -0.348086)  (74, 1.36618)  (85, -0.351559)  (519, -0.666531) 
row 75: (65, -0.431448)  (73, -0.525507)  (75, 1.30937)  (86, -0.352416) 
row 76: (66, -0.455819)  (76, 1.59716)  (83, -0.715635)  (86, -0.425709) 
row 77: (67, -0.400054)  (77, 1.67554)  (79, -0.513768)  (87, -0.761718) 
row 78: (68, -0.599559)  (78, 1.76366)  (88, -0.5414)  (89, -0.622701) 
row 79: (69, -0.378255)  (77, -0.513768)  (79, 1.41142)  (90, -0.519393) 
row 80: (70, -0.382957)  (80, 1.71432)  (82, -0.617107)  (88, -0.714258) 
row 81: (71, -0.495383)  (81, 1.53727)  (90, -0.576866)  (91, -0.465019) 
row 82: (72, -0.42723)  (80, -0.617107)  (82, 1.7856)  (92, -0.741263) 
row 83: (72, -0.70591)  (76, -0.715635)  (83, 2.19021)  (93, -0.768659) 
row 84: (73, -0.302471)  (84, 1.41277)  (85, -0.466397)  (94, -0.643903) 
row 85: (74, -0.351559)  (84, -0.466397)  (85, 1.30988)  (95, -0.491923) 
row 86: (75, -0.352416)  (76, -0.425709)  (86, 1.42384)  (96, -0.645717) 
row 87: (77, -0.761718)  (87, 1.67557)  (89, -0.528833)  (97, -0.385014) 
row 88: (78, -0.5414)  (80, -0.714258)  (88, 1.8313)  (98, -0.575637) 
row 89: (78, -0.622701)  (87, -0.528833)  (89, 1.49566)  (99, -0.344124) 
row 90: (79, -0.519393)  (81, -0.576866)  (90, 1.68514)  (100, -0.58888) 
row 91: (81, -0.465019)  (91, 1.64489)  (101, -0.471871)  (369, -0.708001) 
row 92: (82, -0.741263)  (92, 2.16488)  (102, -0.718974)  (103, -0.704646) 
row 93: (83, -0.768659)  (93, 2.13613)  (102, -0.572804)  (104, -0.794665) 
row 94: (84, -0.643903)  (94, 1.44621)  (96, -0.311561)  (105, -0.490751) 
row 95: (85, -0.491923)  (95, 1.81516)  (106, -0.660609)  (527, -0.662627) 
row 96: (86, -0.645717)  (94, -0.311561)  (96, 1.54325)  (107, -0.585973) 
row 97: (87, -0.385014)  (97, 1.43014)  (108, -0.43628)  (109, -0.608845) 
row 98: (88, -0.575637)  (98, 1.51461)  (110, -0.417712)  (111, -0.521266) 
row 99: (89, -0.344124)  (99, 1.32787)  (108, -0.411996)  (110, -0.571752) 
row 100: (90, -0.58888)  (100, 1.77852)  (109, -0.770702)  (112, -0.418941) 
row 101: (91, -0.471871)  (101, 1.50483)  (112, -0.617219)  (113, -0.41574) 
row 102: (92, -0.718974)  (93, -0.572804)  (102, 1.95564)  (114, -0.663861) 
row 103: (92, -0.704646)  (103, 2.10649)  (111, -0.79268)  (115, -0.609167) 
row 104: (93, -0.794665)  (104, 2.06317)  (107, -0.611588)  (116, -0.656914) 
row 105: (94, -0.490751)  (105, 1.83867)  (117, -0.567209)  (118, -0.780706) 
row 106: (95, -0.660609)  (106, 1.42154)  (118, -0.412545)  (119, -0.348391) 
row 107: (96, -0.585973)  (104, -0.611588)  (107, 1.61043)  (117, -0.412867) 
row 108: (97, -0.43628)  (99, -0.411996)  (108, 1.31322)  (120, -0.464946) 
row 109: (97, -0.608845)  (100, -0.770702)  (109, 1.83202)  (121, -0.452473) 
row 110: (98, -0.417712)  (99, -0.571752)  (110, 1.31729)  (122, -0.327827) 
row 111: (98, -0.521266)  (103, -0.79268)  (111, 1.75199)  (123, -0.438045) 
row 112: (100, -0.418941)  (101, -0.617219)  (112, 1.45205)  (124, -0.415892) 
row 113: (101, -0.41574)  (113, 1.47228)  (125, -0.392861)  (360, -0.663684) 
row 114: (102, -0.663861)  (114, 1.89115)  (126, -0.632586)  (127, -0.594704) 
row 115: (103, -0.609167)  (115, 1.93874)  (127, -0.663515)  (128, -0.666056) 
row 116: (104, -0.656914)  (116, 1.74268)  (126, -0.519454)  (129, -0.566314) 
row 117: (105, -0.567209)  (107, -0.412867)  (117, 1.79239)  (130, -0.812313) 
row 118: (105, -0.780706)  (106, -0.412545)  (118, 1.78404)  (131, -0.590786) 
row 119: (106, -0.348391)  (119, 1.47858)  (132, -0.540201)  (535, -0.589991) 
row 120: (108, -0.464946)  (120, 1.5876)  (133, -0.597294)  (134, -0.52536) 
row 121: (109, -0.452473)  (121, 1.51729)  (133, -0.566738)  (135, -0.498078) 
